DAQ Chan	ADC Name	ADC Chan	Chan Name
1503	grifadc107	15	TFC31SN00X
1504	grifadc110	0	TFC05XN00X
1505	grifadc110	1	TFC05XN01X
1506	grifadc110	2	TFC05XN02X
1507	grifadc110	3	TFC05XN03X
1508	grifadc110	4	TFC05XN04X
1509	grifadc110	5	TFC05XN05X
1510	grifadc110	6	TFC05XN06X
1511	grifadc110	7	TFC05XN07X
1512	grifadc110	8	TFC05XN08X
1513	grifadc110	9	TFC05XN09X
1514	grifadc110	10	TFC05XN10X
1515	grifadc110	11	TFC05XN11X
1516	grifadc110	12	TFC05XN12X
1517	grifadc110	13	TFC05XN13X
1518	grifadc110	14	TFC05XN14X
1519	grifadc110	15	TFC05XN15X
1520	grifadc130	0	TFC03YN00X
1521	grifadc130	1	TFC03YN01X
1522	grifadc130	2	TFC03YN02X
1523	grifadc130	3	TFC03YN03X
1524	grifadc130	4	TFC03YN04X
1525	grifadc130	5	TFC03YN05X
1526	grifadc130	6	TFC03YN06X
1527	grifadc130	7	TFC03YN07X
1528	grifadc130	8	TFC03YN08X
1529	grifadc130	9	TFC03YN09X
1530	grifadc130	10	TFC03YN10X
1531	grifadc130	11	TFC03YN11X
1532	grifadc130	12	TFC03YN12X
1533	grifadc130	13	TFC03YN13X
1534	grifadc130	14	TFC03YN14X
1535	grifadc130	15	TFC03YN15X
1536	grifadc116	15	RFL00XS00x
